target,training_time
target_0,4.774155855178833
target_1,4.563421010971069
target_2,4.781083106994629
target_3,4.759797096252441
target_4,4.663609266281128
target_5,4.554590940475464
target_6,4.700098037719727
target_7,4.647000789642334
target_8,4.3786890506744385
target_9,4.844429969787598
