target,rmse,training_time
target_0,0.0,4.774155855178833
target_1,0.0,4.563421010971069
target_2,0.0,4.781083106994629
target_3,0.0,4.759797096252441
target_4,0.0,4.663609266281128
target_5,0.0,4.554590940475464
target_6,0.0,4.700098037719727
target_7,0.0,4.647000789642334
target_8,0.0,4.3786890506744385
target_9,0.0,4.844429969787598
